DoctorID,FirstName,LastName,Specialization,ContactNumber,Email
5000,Gabrielle,Orr,General Physician,849.532.6668x495,sarah34@gmail.com
5001,Zachary,Walker,Neurologist,4087983465,kbarnes@yahoo.com
5002,Austin,Jackson,Orthopedic,+1-997-365-0246x0016,katherine74@yahoo.com
5003,Rodney,Henson,General Physician,001-749-673-9958x9683,wewing@pearson-diaz.com
5004,Katie,Duncan,Dermatologist,856-886-4134,nancy03@hotmail.com
5005,April,Zhang,General Physician,602.676.8148x842,bradleylam@webb.com
5006,Kaitlyn,Frey,Orthopedic,+1-799-145-7562,denise48@gilmore.net
5007,Eric,Henry,Cardiologist,529.574.5357,sara13@reed-wright.com
5008,Matthew,Forbes,Pediatrician,(662)839-6786x237,igriffin@hotmail.com
5009,John,Dalton,Pediatrician,117-027-0959x3905,donaldberg@craig-white.info
