DoctorID,FirstName,LastName,Specialization,ContactNumber,Email
5000,Heather,Turner,Cardiologist,514.048.3651,duffyjennifer@yahoo.com
5001,Linda,Barr,Cardiologist,(733)020-6100x2473,vobrien@yahoo.com
5002,Dominique,Welch,Pediatrician,001-831-653-8936x44827,michelle65@smith.info
5003,Rebecca,Powers,Pediatrician,001-285-120-8070x48036,parsonspeter@gmail.com
5004,Stephen,Phillips,Pediatrician,+1-904-463-9047x354,umalone@gmail.com
5005,Curtis,Gonzalez,Neurologist,(346)537-3764x3533,jerryclark@gmail.com
5006,Victor,Gray,Orthopedic,735.578.1115,ntorres@robinson-henderson.com
5007,Toni,Livingston,Pediatrician,572-132-4958x883,lisa51@gmail.com
5008,Rebecca,Hill,Dermatologist,761-846-6426x71106,william93@huber.com
5009,Emily,Owens,Neurologist,+1-186-478-9729x6476,michaelross@hotmail.com
